,Name,Manufacturer,Image,Cartridge,Country,Introduced,Type
0,A-M20,Vigilance Rifles,,9×19mm NATO,United States,2020,SMG
1,FAMAE SAF,FAMAE,,9×19mm Parabellum,Chile,1993,SMG
2,Agram 2000,Agram,,9×19mm Parabellum,Yugoslavia Croatia,2000,SMG
3,AL-43,Valtion Kivääritehdas,,9x35mm Lahti7.62x35mm Lahti,Finland,1943,SMG
4,AMAC Delta-786,American Military Arms Corporation,,9x19mm,United States,1980s,SMG
5,American-180,Illinois Arms Company,,.22 Long Rifle.22 Short Magnum,United States,1960s,SMG
6,ARCO Abider,Armament Research Company,,.45 ACP,United States,1953,SMG
7,A.R.C. Weapons System,,,9x19mm / .45 ACP,United States,1984,SMG
8,ASMI,Lokesh Machines Limited,,9×19mm Parabellum,India,2021,SMG
9,Brügger & Thomet APC,B&T,,9×19mm Parabellum,Switzerland,2011,SMG
10,AR-57,AR57 LLC,,FN 5.7×28mm,United States,2008,PDW
11,Armaguerra OG-43,Società Anonima Revelli Manifattura Armiguerra,,9×19mm Parabellum,Italian Social Republic,1943,SMG
12,Arsenal submachine gun,Arsenal,,9×20 mm SR Browning,Estonia,1926,SMG
13,ASALT 96,Uzina Mecanică Sadu,,9×19mm Parabellum,Romania,1996,SMG
14,Austen submachine gun,DiecastersW. T. Carmichael,,9×19mm Parabellum,Australia,1942,SMG
15,Bechowiec-1,Bataliony Chłopskie,,9×19mm Parabellum,Poland,1943,SMG
16,Beretta 93R,Fabbrica d'Armi Pietro Beretta,,9×19mm Parabellum,Italy,1978,MP
17,Beretta PMX,Beretta Defense Technologies,,9×19mm Parabellum,Italy,2018,SMG
18,Beretta Cx4 Storm,Fabbrica d'Armi Pietro Beretta,,"9×19mm Parabellum, .45 ACP",Italy,2003,SMG
19,Beretta Model 38,Fabbrica d'Armi Pietro Beretta,,9×19mm Parabellum,Italy,1938,SMG
20,Beretta M12,Fabbrica d'Armi Pietro Beretta,,9×19mm Parabellum,Italy,1959,SMG
21,Beretta M1918,Fabbrica d'Armi Pietro Beretta,,9mm Glisenti.22 Long Rifle,Italy,1918,SMG
22,Borz,"Krasniy Molot, Grozny",,9×18mm Makarov,Chechnya,1992,SMG
23,Brügger & Thomet MP9,Brügger & Thomet,,9×19mm Parabellum,Switzerland,2001,MP/SMG
24,BSA experimental model 1949,Birmingham Small Arms,,9×19mm Parabellum,United Kingdom,1949,SMG
